unique_id,score,rating,resolution
3201701_120,64.9049042091139,good,coast_family
3201701_120,40.0757950238919,poor,coast_genus
3201701_120,62.0227763665657,good,sep_family
3201701_120,39.4159991223425,poor,sep_genus
3201701_200,38.5232287900886,fair,coast_family
3201701_200,42.8219915417147,poor,coast_genus
3201701_200,40.8984797539497,fair,sep_family
3201701_200,34.4323098128486,poor,sep_genus
3201702_120,85,excellent,coast_family
3201702_120,39.0582620422528,poor,coast_genus
3201702_120,81.3668598982097,good,sep_family
3201702_120,19.4724454416067,very_poor,sep_genus
3201702_200,86.920456494286,excellent,coast_family
3201702_200,38.9812642713761,poor,coast_genus
3201702_200,88.2189174109306,excellent,sep_family
3201702_200,20.908029774652,very_poor,sep_genus
3211701_120,17.1348312919855,very_poor,coast_family
3211701_120,54.7992850901795,fair,coast_genus
3211701_120,22.8534251298957,poor,sep_family
3211701_120,37.3038240741831,poor,sep_genus
3211701_200,20.2345755375098,poor,coast_family
3211701_200,49.2682745832024,fair,coast_genus
3211701_200,23.0101469339945,poor,sep_family
3211701_200,34.3442946210572,poor,sep_genus
3211702_120,10,very_poor,coast_family
3211702_120,73.3333333333333,excellent,coast_genus
3211702_120,9.09090909090909,very_poor,sep_family
3211702_120,46.0756159017943,poor,sep_genus
3211702_200,14.1176470588235,very_poor,coast_family
3211702_200,66.6666666666667,excellent,coast_genus
3211702_200,9.09090909090909,very_poor,sep_family
3211702_200,35.1007459690443,poor,sep_genus
3211703_120,15.1294545065983,very_poor,coast_family
3211703_120,42.8834248493833,poor,coast_genus
3211703_120,12.6974264092081,very_poor,sep_family
3211703_120,32.8019236704218,poor,sep_genus
3211703_200,14.1176470588235,very_poor,coast_family
3211703_200,40.8975376173338,poor,coast_genus
3211703_200,9.09090909090909,very_poor,sep_family
3211703_200,32.4440984812274,poor,sep_genus
3211704_120,28.779143973418,poor,coast_family
3211704_120,40,poor,coast_genus
3211704_120,24.3099258314713,poor,sep_family
3211704_120,27.2409326615178,poor,sep_genus
3211704_200,33.5973144366131,poor,coast_family
3211704_200,45.3118276030115,fair,coast_genus
3211704_200,40.6538797768042,fair,sep_family
3211704_200,29.8199425449369,poor,sep_genus
3211705_120,60.1047551187381,good,coast_family
3211705_120,33.488142906107,poor,coast_genus
3211705_120,56.8280309247045,good,sep_family
3211705_120,35.8477319853732,poor,sep_genus
3211705_200,66.5416966220565,good,coast_family
3211705_200,34.8411676008245,poor,coast_genus
3211705_200,55.6226581317217,fair,sep_family
3211705_200,39.6211743771709,poor,sep_genus
3221701_120,43.2885906040268,fair,coast_family
3221701_120,33.3333333333333,poor,coast_genus
3221701_120,18.5884332683547,poor,sep_family
3221701_120,2.16721113280409,very_poor,sep_genus
3221701_200,43.2885906040268,fair,coast_family
3221701_200,30.9879284626163,poor,coast_genus
3221701_200,18.9830839951454,poor,sep_family
3221701_200,2.48727781981423,very_poor,sep_genus
3221702_120,69.4867767270396,good,coast_family
3221702_120,39.5037205789831,poor,coast_genus
3221702_120,58.578844164502,good,sep_family
3221702_120,9.44447118711681,very_poor,sep_genus
3221702_200,64.0532792322155,good,coast_family
3221702_200,38.9826910755018,poor,coast_genus
3221702_200,54.8501411296122,fair,sep_family
3221702_200,8.25095732798613,very_poor,sep_genus
3221704_120,63.1166914604629,good,coast_family
3221704_120,29.6397311358266,poor,coast_genus
3221704_120,54.845124048731,fair,sep_family
3221704_120,17.2490097681021,very_poor,sep_genus
3221704_200,60.4489439630531,good,coast_family
3221704_200,28.5642208975451,poor,coast_genus
3221704_200,47.6349272338868,fair,sep_family
3221704_200,16.3610910749543,very_poor,sep_genus
3221705_120,22.2761305780174,poor,coast_family
3221705_120,20.2569916855631,very_poor,coast_genus
3221705_120,9.10805019895929,very_poor,sep_family
3221705_120,5.72734651928653,very_poor,sep_genus
3221705_200,20,poor,coast_family
3221705_200,21.9116754091467,very_poor,coast_genus
3221705_200,9.19756108226175,very_poor,sep_family
3221705_200,15.8008255834013,very_poor,sep_genus
3231701_120,24.0405615436897,poor,coast_family
3231701_120,38.1145765671265,poor,coast_genus
3231701_120,33.4500857967715,fair,sep_family
3231701_120,64.3418325713591,good,sep_genus
3231701_200,23.9580841467173,poor,coast_family
3231701_200,41.0613873232536,poor,coast_genus
3231701_200,35.8760449123825,fair,sep_family
3231701_200,69.2299126487095,good,sep_genus
3231702_120,27.4062376628504,poor,coast_family
3231702_120,59.9803977028718,good,coast_genus
3231702_120,12.9355226271526,very_poor,sep_family
3231702_120,23.2507207806609,poor,sep_genus
3231702_200,27.4062376628504,poor,coast_family
3231702_200,60.4795619439379,good,coast_genus
3231702_200,12.9355226271526,very_poor,sep_family
3231702_200,23.2507207806609,poor,sep_genus
3231703_120,38.2705767690653,fair,coast_family
3231703_120,53.3333333333333,fair,coast_genus
3231703_120,10.9776884322339,very_poor,sep_family
3231703_120,13.5495804412412,very_poor,sep_genus
3231703_200,38.2705767690653,fair,coast_family
3231703_200,53.3333333333333,fair,coast_genus
3231703_200,10.9776884322339,very_poor,sep_family
3231703_200,13.5495804412412,very_poor,sep_genus
3231704_120,38.2561758677595,fair,coast_family
3231704_120,29.2098800856387,poor,coast_genus
3231704_120,18.9277529136744,poor,sep_family
3231704_120,29.2944300891615,poor,sep_genus
3231704_200,39.310847052427,fair,coast_family
3231704_200,30.2122363607097,poor,coast_genus
3231704_200,16.1160833620228,very_poor,sep_family
3231704_200,28.7230772470324,poor,sep_genus
